Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Dècolletè donna comodo in pelle nude r30611z,r30611z,donna,decollete,decollete,nude,125.0,125.0,0.0,Melluso
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0,0.0,Melluso
Décolleté donna slingback in pelle nude e bianco e1690,e1690,donna,decollete,decollete,bianco,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle acero d5176w,d5176w,donna,decollete,decollete,acero,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio zebra verde d5176w,d5176w,donna,decollete,decollete,verde,111.93,159.9,30.0,Melluso
Décolleté donna in camoscio zebra cioccolato d5176w,d5176w,donna,decollete,decollete,cioccolato,111.93,159.9,30.0,Melluso
Décolleté donna in camoscio vino d5178w,d5178w,donna,decollete,decollete,vino,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero d5178w,d5178w,donna,decollete,decollete,nero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in camoscio nero d5185w,d5185w,donna,decollete,decollete,nero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in camoscio petrolio d5185w,d5185w,donna,decollete,decollete,petrolio,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero d5185w,d5185w,donna,decollete,decollete,nero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in camoscio acero d5185w,d5185w,donna,decollete,decollete,acero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle blu notte d5125w,d5125w,donna,decollete,decollete,notte,125.91,139.9,10.000000000000005,Melluso
Décolleté donna in camoscio rovere d5125w,d5125w,donna,decollete,decollete,rovere,97.93,139.9,30.0,Melluso
Décolleté donna con cinturino in vernice nero d5126w,d5126w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna con cinturino in camoscio nero d5126w,d5126w,donna,decollete,decollete,nero,125.91,139.9,10.000000000000005,Melluso
Décolleté donna con cinturino in camoscio rovere d5126w,d5126w,donna,decollete,decollete,rovere,97.93,139.9,30.0,Melluso
Décolleté donna con cinturino in camoscio acero d5126w,d5126w,donna,decollete,decollete,acero,97.93,139.9,30.0,Melluso
Décolleté donna in camoscio nero d5173w,d5173w,donna,decollete,decollete,nero,125.91,139.9,10.000000000000005,Melluso
Décolleté donna in pelle rosa onion d5173w,d5173w,donna,decollete,decollete,onion,97.93,139.9,30.0,Melluso
Décolleté donna in wash tortora d5175w,d5175w,donna,decollete,decollete,tortora,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio viola d5175w,d5175w,donna,decollete,decollete,viola,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero d5071w,d5071w,donna,decollete,decollete,nero,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in pelle moro d5071w,d5071w,donna,decollete,decollete,moro,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in pelle nero d5072w,d5072w,donna,decollete,decollete,nero,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in pelle nero d5096w,d5096w,donna,decollete,decollete,nero,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in camoscio blu notte d5096w,d5096w,donna,decollete,decollete,notte,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in camoscio rovere d5096w,d5096w,donna,decollete,decollete,rovere,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in camoscio nero d5125w,d5125w,donna,decollete,decollete,nero,125.91,139.9,10.000000000000005,Melluso
Décolleté donna in vernice nero d5125w,d5125w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna in vernice blu notte d5096w,d5096w,donna,decollete,decollete,notte,97.93,139.9,30.0,Melluso
Décolleté donna in pelle acero d5096w,d5096w,donna,decollete,decollete,acero,90.93,129.9,30.0,Melluso
Décolleté donna in camoscio bordo d5096w,d5096w,donna,decollete,decollete,bordo,90.93,129.9,30.0,Melluso
Décolleté donna in pelle blu navy d5176w,d5176w,donna,decollete,decollete,navy,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in camoscio blu navy d5185w,d5185w,donna,decollete,decollete,navy,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle harrods nero d5186w,d5186w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero e5115w,e5115w,donna,decollete,decollete,nero,135.92,169.9,20.00000000000001,Melluso
Décolleté donna in camoscio nero e5125w,e5125w,donna,decollete,decollete,nero,132.0,165.0,20.0,Melluso
Décolleté donna in camoscio acero e5125w,e5125w,donna,decollete,decollete,acero,132.0,165.0,20.0,Melluso
Décolleté donna in camoscio verde e5130w,e5130w,donna,decollete,decollete,verde,115.5,165.0,30.0,Melluso
Décolleté donna con elastico in camoscio nero e5134,e5134,donna,decollete,decollete,nero,132.0,165.0,20.0,Melluso
Décolleté donna in pelle nero e5143w,e5143w,donna,decollete,decollete,nero,127.92,159.9,20.0,Melluso
Décolleté donna in camoscio acero d5176w,d5176w,donna,decollete,decollete,acero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in camoscio viola d5176w,d5176w,donna,decollete,decollete,viola,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio nero d5176w,d5176w,donna,decollete,decollete,nero,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle harrods verde d5186w,d5186w,donna,decollete,decollete,verde,104.93,149.9,30.0,Melluso
Décolleté donna con cinturino in pelle nero x5214w,x5214w,donna,decollete,decollete,nero,116.0,145.0,20.0,Melluso
Décolleté donna in pelle blu navy d5096w,d5096w,donna,decollete,decollete,navy,116.91,129.9,10.000000000000005,Melluso
Décolleté donna in camoscio bordo x5222,x5222,donna,decollete,decollete,bordo,116.0,145.0,20.0,Melluso
Décolleté donna in camoscio blu notte d5125w,d5125w,donna,decollete,decollete,notte,125.91,139.9,10.000000000000005,Melluso
Décolleté donna con cinturino in camoscio bordo d5126w,d5126w,donna,decollete,decollete,bordo,125.91,139.9,10.000000000000005,Melluso
Décolleté donna in vernice e pelle nero beige e5142w,e5142w,donna,decollete,decollete,beige,127.92,159.9,20.0,Melluso
Décolleté donna in vernice e pelle marrone nero e5142w,e5142w,donna,decollete,decollete,nero,127.92,159.9,20.0,Melluso
Décolleté donna in camoscio e vernice nero e5142w,e5142w,donna,decollete,decollete,nero,127.92,159.9,20.0,Melluso
Décolleté donna in camoscio vino e5142w,e5142w,donna,decollete,decollete,vino,127.92,159.9,20.0,Melluso
Dècolletè donna in pelle nero k59026w,k59026w,donna,decollete,decollete,nero,119.92,149.9,20.0,Melluso
Dècolletè donna in pelle blu navy k59026w,k59026w,donna,decollete,decollete,navy,119.92,149.9,20.0,Melluso
Décolleté donna in pelle nero r35108w,r35108w,donna,decollete,decollete,nero,119.92,149.9,20.0,Melluso
Décolleté donna cinturino incrociato in tessuto galassia platino e1631zv,e1631zv,donna,decollete,decollete,platino,143.91,159.9,10.000000000000005,Melluso
Décolleté donna in camoscio viola d5186w,d5186w,donna,decollete,decollete,viola,134.91,149.9,10.000000000000005,Melluso
Décolleté donna in pelle bordo k55233w,k55233w,donna,decollete,decollete,bordo,71.92,89.9,20.000000000000004,Melluso
Décolleté donna in vernice e camoscio marrone k91616w,k91616w,donna,decollete,decollete,marrone,95.92,119.9,20.0,Melluso
Décolleté donna in pelle nero v5342,v5342,donna,decollete,decollete,nero,119.92,149.9,20.0,Melluso
Décolleté donna  in camoscio blu navy x5100w,x5100w,donna,decollete,decollete,navy,116.0,145.0,20.0,Melluso
Décolleté donna con cinturino in camoscio bordo x5214w,x5214w,donna,decollete,decollete,bordo,116.0,145.0,20.0,Melluso
Décolleté donna in camoscio nero x5216w,x5216w,donna,decollete,decollete,nero,124.0,155.0,20.0,Melluso
Décolleté donna in camoscio acero x5216w,x5216w,donna,decollete,decollete,acero,124.0,155.0,20.0,Melluso
Décolleté donna in camoscio marrone x5216w,x5216w,donna,decollete,decollete,marrone,124.0,155.0,20.0,Melluso
Décolleté donna in pelle nero x5216w,x5216w,donna,decollete,decollete,nero,124.0,155.0,20.0,Melluso
Décolleté donna in camoscio bordo x5216w,x5216w,donna,decollete,decollete,bordo,124.0,155.0,20.0,Melluso
Décolleté donna in camoscio nero x5318w,x5318w,donna,decollete,decollete,nero,124.0,155.0,20.0,Melluso
Décolleté donna in pelle nero x5318w,x5318w,donna,decollete,decollete,nero,124.0,155.0,20.0,Melluso
